pays,id,2008,2009,2010,2011,2012
Cameroun,120,1,,,,
Congo Brazzaville,178,,1,,,
Syrie,760,,1,1,,
Senegal,686,,1,,,
Niger,562,,,1,,
Gabon,266,,,1,,
Burkina Faso,854,,,1,,
Djibouti,262,,,,1,
RDC,180,,,,1,
Benin,204,,,,1,
Madagascar,450,,,,1,
Togo,768,,,,,1
Burundi,108,,,,,1
Gambie,270,,,,,1
